medal_id,medal_type,discipline_code,event,medal_date
1,Gold Medal,ARC,Mixed Team,2021-07-24
2,Gold Medal,ARC,Mixed Team,2021-07-24
3,Silver Medal,ARC,Mixed Team,2021-07-24
4,Silver Medal,ARC,Mixed Team,2021-07-24
5,Bronze Medal,ARC,Mixed Team,2021-07-24
6,Bronze Medal,ARC,Mixed Team,2021-07-24
7,Gold Medal,CRD,Men's Road Race,2021-07-24
8,Silver Medal,CRD,Men's Road Race,2021-07-24
9,Bronze Medal,CRD,Men's Road Race,2021-07-24
10,Gold Medal,FEN,Men's Sabre Individual,2021-07-24
11,Silver Medal,FEN,Men's Sabre Individual,2021-07-24
12,Bronze Medal,FEN,Men's Sabre Individual,2021-07-24
13,Gold Medal,FEN,Women's epee Individual,2021-07-24
14,Silver Medal,FEN,Women's epee Individual,2021-07-24
15,Bronze Medal,FEN,Women's epee Individual,2021-07-24
16,Gold Medal,JUD,Men -60 kg,2021-07-24
17,Silver Medal,JUD,Men -60 kg,2021-07-24
18,Bronze Medal,JUD,Men -60 kg,2021-07-24
19,Bronze Medal,JUD,Men -60 kg,2021-07-24
20,Gold Medal,JUD,Women -48 kg,2021-07-24
21,Silver Medal,JUD,Women -48 kg,2021-07-24
22,Bronze Medal,JUD,Women -48 kg,2021-07-24
23,Bronze Medal,JUD,Women -48 kg,2021-07-24
24,Gold Medal,SHO,10m Air Pistol Men,2021-07-24
25,Silver Medal,SHO,10m Air Pistol Men,2021-07-24
26,Bronze Medal,SHO,10m Air Pistol Men,2021-07-24
27,Gold Medal,SHO,10m Air Rifle Women,2021-07-24
28,Silver Medal,SHO,10m Air Rifle Women,2021-07-24
29,Bronze Medal,SHO,10m Air Rifle Women,2021-07-24
30,Gold Medal,TKW,Men -58kg,2021-07-24
31,Silver Medal,TKW,Men -58kg,2021-07-24
32,Bronze Medal,TKW,Men -58kg,2021-07-24
33,Bronze Medal,TKW,Men -58kg,2021-07-24
34,Gold Medal,TKW,Women -49kg,2021-07-24
35,Silver Medal,TKW,Women -49kg,2021-07-24
36,Bronze Medal,TKW,Women -49kg,2021-07-24
37,Bronze Medal,TKW,Women -49kg,2021-07-24
38,Gold Medal,WLF,Women's 49kg,2021-07-24
39,Silver Medal,WLF,Women's 49kg,2021-07-24
40,Bronze Medal,WLF,Women's 49kg,2021-07-24
41,Gold Medal,ARC,Women's Team,2021-07-25
42,Gold Medal,ARC,Women's Team,2021-07-25
43,Gold Medal,ARC,Women's Team,2021-07-25
44,Silver Medal,ARC,Women's Team,2021-07-25
45,Silver Medal,ARC,Women's Team,2021-07-25
46,Silver Medal,ARC,Women's Team,2021-07-25
47,Bronze Medal,ARC,Women's Team,2021-07-25
48,Bronze Medal,ARC,Women's Team,2021-07-25
49,Bronze Medal,ARC,Women's Team,2021-07-25
50,Gold Medal,CRD,Women's Road Race,2021-07-25
51,Silver Medal,CRD,Women's Road Race,2021-07-25
52,Bronze Medal,CRD,Women's Road Race,2021-07-25
53,Gold Medal,DIV,Women's Synchronised 3m Springboard,2021-07-25
54,Gold Medal,DIV,Women's Synchronised 3m Springboard,2021-07-25
55,Silver Medal,DIV,Women's Synchronised 3m Springboard,2021-07-25
56,Silver Medal,DIV,Women's Synchronised 3m Springboard,2021-07-25
57,Bronze Medal,DIV,Women's Synchronised 3m Springboard,2021-07-25
58,Bronze Medal,DIV,Women's Synchronised 3m Springboard,2021-07-25
59,Gold Medal,FEN,Men's Individual,2021-07-25
60,Silver Medal,FEN,Men's Individual,2021-07-25
61,Bronze Medal,FEN,Men's Individual,2021-07-25
62,Gold Medal,FEN,Women's Foil Individual,2021-07-25
63,Silver Medal,FEN,Women's Foil Individual,2021-07-25
64,Bronze Medal,FEN,Women's Foil Individual,2021-07-25
65,Gold Medal,JUD,Men -66 kg,2021-07-25
66,Silver Medal,JUD,Men -66 kg,2021-07-25
67,Bronze Medal,JUD,Men -66 kg,2021-07-25
68,Bronze Medal,JUD,Men -66 kg,2021-07-25
69,Gold Medal,JUD,Women -52 kg,2021-07-25
70,Silver Medal,JUD,Women -52 kg,2021-07-25
71,Bronze Medal,JUD,Women -52 kg,2021-07-25
72,Bronze Medal,JUD,Women -52 kg,2021-07-25
73,Gold Medal,SHO,10m Air Pistol Women,2021-07-25
74,Silver Medal,SHO,10m Air Pistol Women,2021-07-25
75,Bronze Medal,SHO,10m Air Pistol Women,2021-07-25
76,Gold Medal,SHO,10m Air Rifle Men,2021-07-25
77,Silver Medal,SHO,10m Air Rifle Men,2021-07-25
78,Bronze Medal,SHO,10m Air Rifle Men,2021-07-25
79,Gold Medal,SKB,Men's Street,2021-07-25
80,Silver Medal,SKB,Men's Street,2021-07-25
81,Bronze Medal,SKB,Men's Street,2021-07-25
82,Gold Medal,SWM,Men's 400m Freestyle,2021-07-25
83,Silver Medal,SWM,Men's 400m Freestyle,2021-07-25
84,Bronze Medal,SWM,Men's 400m Freestyle,2021-07-25
85,Gold Medal,SWM,Men's 400m Individual Medley,2021-07-25
86,Silver Medal,SWM,Men's 400m Individual Medley,2021-07-25
87,Bronze Medal,SWM,Men's 400m Individual Medley,2021-07-25
88,Gold Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
89,Gold Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
90,Gold Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
91,Gold Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
92,Gold Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
93,Gold Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
94,Silver Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
95,Silver Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
96,Silver Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
97,Silver Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
98,Silver Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
99,Bronze Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
100,Bronze Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
101,Bronze Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
102,Bronze Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
103,Bronze Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
104,Bronze Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
105,Bronze Medal,SWM,Women's 4 x 100m Freestyle Relay,2021-07-25
106,Gold Medal,SWM,Women's 400m Individual Medley,2021-07-25
107,Silver Medal,SWM,Women's 400m Individual Medley,2021-07-25
108,Bronze Medal,SWM,Women's 400m Individual Medley,2021-07-25
109,Gold Medal,TKW,Men -68kg,2021-07-25
110,Silver Medal,TKW,Men -68kg,2021-07-25
111,Bronze Medal,TKW,Men -68kg,2021-07-25
112,Bronze Medal,TKW,Men -68kg,2021-07-25
113,Gold Medal,TKW,Women -57kg,2021-07-25
114,Silver Medal,TKW,Women -57kg,2021-07-25
115,Bronze Medal,TKW,Women -57kg,2021-07-25
116,Bronze Medal,TKW,Women -57kg,2021-07-25
117,Gold Medal,WLF,Men's 61kg,2021-07-25
118,Silver Medal,WLF,Men's 61kg,2021-07-25
119,Bronze Medal,WLF,Men's 61kg,2021-07-25
120,Gold Medal,WLF,Men's 67kg,2021-07-25
121,Silver Medal,WLF,Men's 67kg,2021-07-25
122,Bronze Medal,WLF,Men's 67kg,2021-07-25
123,Gold Medal,ARC,Men's Team,2021-07-26
124,Gold Medal,ARC,Men's Team,2021-07-26
125,Gold Medal,ARC,Men's Team,2021-07-26
126,Silver Medal,ARC,Men's Team,2021-07-26
127,Silver Medal,ARC,Men's Team,2021-07-26
128,Silver Medal,ARC,Men's Team,2021-07-26
129,Bronze Medal,ARC,Men's Team,2021-07-26
130,Bronze Medal,ARC,Men's Team,2021-07-26
